x0,x1,x2,x3,x4,x5,x6,x7,pv_kWp,battery_kWh,pcm_kg,compressor_kWh,feasible,failure_reason,unmet_kWh,rh_violation_hours,battery_soc_min,pcm_soc_min,pcm_candidate,pcm_transition_C,pcm_conductivity_W_mK,pcm_usable_enthalpy_J_kg,pcm_leakage_pct,pcm_cycle_retention_500,pcm_cost_INR_kg,pcm_data_status
11.71792477,4.49548066,606.82349352,3.3308896,5.95768199,9.04559081,5965.00710491,13.76169869,11.717924773774033,4.495480662339198,606.8234935225471,10000.0,False,ROOM_T_LIMIT,,0,0.9480317192139294,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
21.37870362,32.95723665,972.45343201,5.75441272,10.03253741,14.9826813,8038.65242515,30.3804515,21.378703617005495,32.95723665112812,972.4534320125399,7265.255661812667,False,POST_SIM_CONSTRAINT,209.18324352316475,0,0.433326975862857,0.37465287359195476,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
8.74411339,29.57764142,731.43919238,6.58277381,6.95606371,7.82195408,7111.05878283,39.61283427,8.744113386189014,29.577641419870243,731.4391923829389,10000.0,False,ROOM_T_LIMIT,,0,0.23737477156897505,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
16.49685797,21.87395987,993.08300947,9.19782366,11.99359455,19.35086675,9007.47166565,19.15936581,16.496857970007987,21.873959872989346,993.0830094694456,6307.170466285773,False,POST_SIM_CONSTRAINT,27.970741866852165,26.0,0.2,0.3822919806030439,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
17.19100674,14.79450491,867.53867155,3.96110323,7.70037067,17.77086431,7090.6087781,28.03053548,17.191006738570284,14.794504910226976,867.5386715543391,6700.020745871509,False,POST_SIM_CONSTRAINT,3907.21121646487,42.0,0.2,0.07774789423069484,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
21.38732672,12.97892304,466.81415716,7.46955938,8.21760518,13.90841452,4931.53426384,19.55872384,21.387326718560306,12.978923042723975,466.8141571586635,6713.915326650245,False,POST_SIM_CONSTRAINT,88.18875050164303,32.0,0.2,0.05379392102328151,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
19.79311679,15.10802097,830.23988543,3.32651264,11.60692944,8.91302254,7303.86869746,37.6265576,19.79311679189196,15.108020973371676,830.2398854315024,5965.423925528228,False,POST_SIM_CONSTRAINT,8073.496850397342,20.0,0.2,0.035241510203592674,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
10.77867973,22.81253807,476.49847503,6.89854334,10.14946027,10.01343287,7254.75783715,27.2880201,10.77867973444568,22.81253807115379,476.4984750343686,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
11.62995922,10.93216961,380.08130691,6.95838654,11.49943374,6.26272684,10790.97115683,38.87419331,11.629959220350756,10.93216961119273,380.0813069122488,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
15.38885653,34.00438721,793.34770556,6.81657646,7.70940014,12.5295861,9137.97054367,17.03516106,15.388856531167095,34.004387211884335,793.3477055622527,6668.458849589716,False,POST_SIM_CONSTRAINT,0.005686448301895325,0,0.280834143007427,0.36783120307564676,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
15.74841177,13.86941628,987.90511463,5.70157162,11.08551542,15.1850806,11245.29665193,20.63702982,15.748411766932458,13.869416281050189,987.9051146340781,7064.310014683338,False,POST_SIM_CONSTRAINT,675.7487259937595,76.0,0.2,0.12268762741125494,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
12.75062496,15.44913586,878.92997274,9.67185936,10.59655466,12.31989782,10461.87054685,31.90559107,12.750624958696275,15.449135855968404,878.9299727409701,6161.79808596209,False,POST_SIM_CONSTRAINT,335.0042484838039,116.0,0.2,0.04525108173689407,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
8.28607755,13.3833013,622.87590353,8.59259561,9.24743319,6.57267743,7333.6709646,15.57991423,8.286077547567189,13.383301299011778,622.8759035281684,10000.0,False,ROOM_T_LIMIT,,0,0.25848803870091985,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
21.95149022,31.43203125,688.26529778,8.1548563,9.49424802,17.43568815,5509.34169896,16.87864942,21.951490221999727,31.43203124678784,688.2652977791986,6264.163380468132,False,POST_SIM_CONSTRAINT,4.783942131325603e-13,0,0.49506845999766164,0.3506913149112837,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
